danceability,spotify popularity,tiktok popularity
0.38,92.0,
0.436,86.0,81.0
0.442,90.0,88.0
0.449,86.0,83.0
0.453,78.0,
0.501,88.0,63.0
0.514,93.0,
0.548,90.0,
0.561,92.0,88.0
0.563,95.0,
0.586,86.0,31.0
0.591,92.0,89.0
0.593,90.0,
0.612,92.0,
0.644,94.0,
0.653,87.0,
0.662,85.0,
0.664,93.0,85.0
0.667,88.0,
0.677,90.0,86.0
0.68,90.0,88.0
0.68,90.0,78.0
0.701,89.0,72.0
0.702,89.0,11.0
0.713,82.0,61.0
0.714,93.0,86.0
0.714,93.0,66.0
0.715,86.0,
0.731,87.0,69.0
0.734,86.0,62.0
0.734,86.0,63.0
0.734,86.0,77.0
0.737,88.0,88.0
0.737,88.0,85.0
0.741,90.0,
0.746,67.0,
0.749,87.0,77.0
0.75,88.0,59.0
0.759,71.0,15.0
0.761,94.0,85.0
0.762,86.0,87.0
0.764,88.0,82.0
0.778,77.0,79.0
0.778,77.0,83.0
0.778,77.0,5.0
0.78,69.0,
0.789,82.0,79.0
0.789,82.0,79.0
0.793,84.0,61.0
0.798,88.0,83.0
0.8,81.0,76.0
0.807,95.0,
0.824,95.0,89.0
0.824,88.0,89.0
0.83,85.0,80.0
0.849,82.0,
0.856,87.0,
0.903,79.0,
0.386,,78.0
0.395,,86.0
0.41,,91.0
0.435,,74.0
0.437,,3.0
0.448,,49.0
0.457,,71.0
0.483,,61.0
0.504,,77.0
0.504,,63.0
0.526,,76.0
0.551,,70.0
0.553,,78.0
0.556,,27.0
0.558,,77.0
0.581,,72.0
0.583,,75.0
0.588,,79.0
0.588,,83.0
0.594,,5.0
0.595,,73.0
0.599,,56.0
0.601,,89.0
0.602,,79.0
0.602,,73.0
0.609,,90.0
0.61,,4.0
0.611,,82.0
0.613,,66.0
0.62,,59.0
0.621,,81.0
0.624,,35.0
0.628,,81.0
0.628,,81.0
0.63,,73.0
0.63,,75.0
0.63,,77.0
0.634,,72.0
0.646,,63.0
0.65,,84.0
0.651,,73.0
0.651,,39.0
0.654,,6.0
0.655,,82.0
0.656,,79.0
0.657,,0.0
0.658,,78.0
0.659,,72.0
0.666,,70.0
0.666,,72.0
0.668,,65.0
0.668,,78.0
0.669,,75.0
0.669,,70.0
0.671,,86.0
0.676,,68.0
0.676,,69.0
0.682,,76.0
0.684,,61.0
0.685,,67.0
0.686,,72.0
0.69,,70.0
0.69,,67.0
0.691,,75.0
0.691,,70.0
0.691,,73.0
0.692,,70.0
0.695,,83.0
0.695,,87.0
0.697,,28.0
0.697,,52.0
0.699,,74.0
0.699,,68.0
0.699,,77.0
0.7,,18.0
0.7,,80.0
0.704,,67.0
0.704,,54.0
0.706,,70.0
0.706,,75.0
0.708,,73.0
0.709,,81.0
0.711,,78.0
0.716,,74.0
0.717,,0.0
0.718,,60.0
0.719,,70.0
0.72,,64.0
0.72,,80.0
0.72,,74.0
0.727,,77.0
0.727,,84.0
0.728,,81.0
0.729,,68.0
0.733,,75.0
0.736,,86.0
0.738,,79.0
0.742,,83.0
0.742,,68.0
0.745,,71.0
0.745,,79.0
0.745,,1.0
0.752,,76.0
0.753,,57.0
0.757,,71.0
0.757,,0.0
0.76,,76.0
0.766,,65.0
0.767,,77.0
0.77,,76.0
0.779,,73.0
0.786,,4.0
0.787,,80.0
0.788,,79.0
0.791,,75.0
0.799,,80.0
0.804,,72.0
0.808,,0.0
0.808,,22.0
0.81,,74.0
0.811,,64.0
0.813,,74.0
0.815,,77.0
0.817,,57.0
0.82,,71.0
0.826,,77.0
0.828,,84.0
0.842,,62.0
0.844,,0.0
0.844,,75.0
0.845,,62.0
0.855,,76.0
0.859,,7.0
0.865,,14.0
0.873,,46.0
0.875,,41.0
0.877,,64.0
0.88,,65.0
0.88,,62.0
0.885,,57.0
0.886,,62.0
0.886,,69.0
0.896,,0.0
0.907,,80.0
0.918,,80.0
0.921,,59.0
0.934,,72.0
0.935,,64.0
0.939,,67.0
0.94,,73.0
0.945,,40.0
0.949,,73.0
